project,source_excerpt,field,model_a,model_b,value_a,value_b,agree,verdict,correct_value
p5-2014-lbnf,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",promise_quote,claude-sonnet,claude-haiku,LBNF is the highest-priority large project in its timeframe.,"LBNF will combine a high-intensity wideband beam, very long baseline, and large-volume precision detector to make an accurate measure of the oscillated neutrino spectrum.",check,,
p5-2014-lbnf,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",science_question,claude-sonnet,claude-haiku,"Measure CP violation in neutrino oscillations to a mean sensitivity better than 3-sigma over more than 75% of the possible delta_CP range, and definitively determine the neutrino mass hierarchy.",Measure CP violation in the lepton sector and determine the neutrino mass hierarchy,check,,
p5-2014-lbnf,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-lbnf,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",cost_basis,claude-sonnet,claude-haiku,,600 kt*MW*yr exposure goal with 1.2 MW beam power and >40 kt liquid argon detector,no,,
p5-2014-lbnf,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",target_date,claude-sonnet,claude-haiku,minimum capability (120 kt*MW*yr exposure) by the 2035 timeframe; move to construction phase around 2018,"Construction peak after HL-LHC; first operation ~2025-2028 timeframe, with components delayed in Scenario A",no,,
p5-2014-lbnf,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",source_locator,claude-sonnet,claude-haiku,Recommendation 13 (p. 12); Table 1 (p. 17); pp. 11-12,"Table 1, Recommendation 13, Recommendation 14",check,,
p5-2014-lhc-phase-1,Not in Table 1. Figure 1 caption (p. 18): 'The LHC: Phase 1 upgrade is a Medium project'. Recommendation 10,agency,claude-sonnet,claude-haiku,DOE-HEP/NSF-PHY,"DOE-HEP, NSF-PHY",no,,
p5-2014-lhc-phase-1,Not in Table 1. Figure 1 caption (p. 18): 'The LHC: Phase 1 upgrade is a Medium project'. Recommendation 10,size_class,claude-sonnet,claude-haiku,Medium project per Figure 1 caption (p. 18): 'The LHC: Phase 1 upgrade is a Medium project',Medium,yes,,
p5-2014-lhc-phase-1,Not in Table 1. Figure 1 caption (p. 18): 'The LHC: Phase 1 upgrade is a Medium project'. Recommendation 10,rank_or_scenario,claude-sonnet,claude-haiku,Recommended for completion in all scenarios (Recommendation 10); precursor to HL-LHC,"Scenario A, B, C",check,,
p5-2014-lhc-phase-1,Not in Table 1. Figure 1 caption (p. 18): 'The LHC: Phase 1 upgrade is a Medium project'. Recommendation 10,science_driver,claude-sonnet,claude-haiku,Use the Higgs Boson as a New Tool for Discovery (precursor step enabling the HL-LHC program),Use the Higgs boson as a new tool for discovery,no,,
p5-2014-lhc-phase-1,Not in Table 1. Figure 1 caption (p. 18): 'The LHC: Phase 1 upgrade is a Medium project'. Recommendation 10,promise_quote,claude-sonnet,claude-haiku,The ongoing Phase-1 upgrade should be completed by 2018.,The ongoing Phase-1 upgrade should be completed by 2018.,yes,,
p5-2014-lhc-phase-1,Not in Table 1. Figure 1 caption (p. 18): 'The LHC: Phase 1 upgrade is a Medium project'. Recommendation 10,science_question,claude-sonnet,claude-haiku,Deliver higher LHC energy and luminosity capability as the immediate precursor to the Higgs precision and new-particle-search program.,Upgrade LHC detector capabilities for higher energy physics,check,,
p5-2014-lhc-phase-1,Not in Table 1. Figure 1 caption (p. 18): 'The LHC: Phase 1 upgrade is a Medium project'. Recommendation 10,cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-lhc-phase-1,Not in Table 1. Figure 1 caption (p. 18): 'The LHC: Phase 1 upgrade is a Medium project'. Recommendation 10,cost_basis,claude-sonnet,claude-haiku,,,yes,,
p5-2014-lhc-phase-1,Not in Table 1. Figure 1 caption (p. 18): 'The LHC: Phase 1 upgrade is a Medium project'. Recommendation 10,target_date,claude-sonnet,claude-haiku,2018,2018,yes,,
p5-2014-lhc-phase-1,Not in Table 1. Figure 1 caption (p. 18): 'The LHC: Phase 1 upgrade is a Medium project'. Recommendation 10,source_locator,claude-sonnet,claude-haiku,Recommendation 10 (p. 10); Figure 1 caption (p. 18),"Recommendation 10, page 10",check,,
p5-2014-lsst,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LSST Y Y Y",agency,claude-sonnet,claude-haiku,NSF/DOE (multi-agency),"NSF Astronomy, DOE-HEP",no,,
p5-2014-lsst,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LSST Y Y Y",size_class,claude-sonnet,claude-haiku,Medium ($50M-$200M),Medium,yes,,
p5-2014-lsst,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LSST Y Y Y",rank_or_scenario,claude-sonnet,claude-haiku,"Y (Scenarios A, B, C)","Scenario A, B, C",check,,
p5-2014-lsst,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LSST Y Y Y",science_driver,claude-sonnet,claude-haiku,Understand Cosmic Acceleration: Dark Energy and Inflation (also Identify the New Physics of Dark Matter),Identify the new physics of dark matter; Understand cosmic acceleration: dark energy and inflation,no,,
p5-2014-lsst,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LSST Y Y Y",promise_quote,claude-sonnet,claude-haiku,Complete LSST as planned.,The physics case for LSST is undiminished relative to its top-rank priority in the NRC Astro2010 Decadal Survey. Its breakthrough capabilities will be transformational for a broad range of science.,check,,
p5-2014-lsst,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LSST Y Y Y",science_question,claude-sonnet,claude-haiku,"Measure the positions, shapes, and distances of billions of galaxies (weak lensing, cluster abundance, supernovae) to test dark energy and dark matter properties.","Survey billions of galaxies and stars to constrain dark energy, inflation, and neutrino masses",check,,
p5-2014-lsst,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LSST Y Y Y",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-lsst,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LSST Y Y Y",cost_basis,claude-sonnet,claude-haiku,,,yes,,
p5-2014-lsst,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LSST Y Y Y",target_date,claude-sonnet,claude-haiku,,,yes,,
p5-2014-lsst,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LSST Y Y Y",source_locator,claude-sonnet,claude-haiku,Recommendation 17 (p. 14); Table 1 (p. 17),"Table 1, Recommendation 17",check,,
p5-2014-map,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | MAP N N N",agency,claude-sonnet,claude-haiku,DOE-HEP (Fermilab-led),DOE-HEP,no,,
p5-2014-map,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | MAP N N N",size_class,claude-sonnet,claude-haiku,Medium per Table 1 'Medium Projects' grouping,Large,no,,
p5-2014-map,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | MAP N N N",rank_or_scenario,claude-sonnet,claude-haiku,"not-recommended as a standalone line (N, N, N); reassessed and partly incorporated into GARD",not-recommended,check,,
p5-2014-map,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | MAP N N N",science_driver,claude-sonnet,claude-haiku,"Explore the Unknown: New Particles, Interactions, and Physical Principles (enabling R&D for future muon-based accelerators)",Enable Energy frontier accelerators; Explore the unknown,no,,
p5-2014-map,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | MAP N N N",promise_quote,claude-sonnet,claude-haiku,"Reassess the Muon Accelerator Program (MAP). Incorporate into the GARD program the MAP activities that are of general importance to accelerator R&D, and consult with international partners on the early termination of MICE.","Reassess the Muon Accelerator Program (MAP). Incorporate into the GARD program the MAP activities that are of general importance to accelerator R&D, and consult with international partners on the early termination of MICE.",yes,,
p5-2014-map,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | MAP N N N",science_question,claude-sonnet,claude-haiku,Establish the technical feasibility of muon storage rings as a path to future neutrino factories and muon colliders.,Develop technology for muon storage rings for neutrino factories and muon colliders,check,,
p5-2014-map,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | MAP N N N",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-map,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | MAP N N N",cost_basis,claude-sonnet,claude-haiku,,Reallocation to general accelerator R&D; early termination of MICE facility,no,,
p5-2014-map,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | MAP N N N",target_date,claude-sonnet,claude-haiku,,,yes,,
p5-2014-map,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | MAP N N N",source_locator,claude-sonnet,claude-haiku,Recommendation 25 (p. 20); Table 1 (p. 17),Recommendation 25,check,,
p5-2014-mice,Not in Table 1. Recommendation 25 and executive summary,_row,claude-sonnet,claude-haiku,present,MISSING,no,,
p5-2014-mu2e,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",agency,claude-sonnet,claude-haiku,DOE-HEP (Fermilab),"DOE-HEP, Fermilab",no,,
p5-2014-mu2e,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",size_class,claude-sonnet,claude-haiku,Large (>$200M) per Table 1 'Large Projects' grouping (Muon program row),Large,yes,,
p5-2014-mu2e,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",rank_or_scenario,claude-sonnet,claude-haiku,"Y (Scenarios A, B, C); first of three large projects in P5's peak-construction time-ordering","Scenario A, B, C",check,,
p5-2014-mu2e,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",science_driver,claude-sonnet,claude-haiku,"Explore the Unknown: New Particles, Interactions, and Physical Principles","Explore the unknown: new particles, interactions, and physical principles",yes,,
p5-2014-mu2e,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",promise_quote,claude-sonnet,claude-haiku,Complete the Mu2e and muon g-2 projects.,"These are immediate targets of opportunity in the drive to search for new physics, and they will help inform future choices of direction.",check,,
p5-2014-mu2e,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",science_question,claude-sonnet,claude-haiku,"Search for charged-lepton-flavor-violating conversion of a muon to an electron in the presence of a nucleus, with sensitivity four orders of magnitude beyond existing bounds.",Search for charged-lepton flavor violation in muon-to-electron conversion,check,,
p5-2014-mu2e,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-mu2e,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",cost_basis,claude-sonnet,claude-haiku,,,yes,,
p5-2014-mu2e,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",target_date,claude-sonnet,claude-haiku,,,yes,,
p5-2014-mu2e,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",source_locator,claude-sonnet,claude-haiku,Table 1 (p. 17); Recommendation 22 (p. 15),"Table 1, Recommendation 22",check,,
p5-2014-muon-g-2,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",agency,claude-sonnet,claude-haiku,DOE-HEP (Fermilab),"DOE-HEP, Fermilab",no,,
p5-2014-muon-g-2,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",size_class,claude-sonnet,claude-haiku,Large (>$200M) per Table 1 'Large Projects' grouping (Muon program row),Large,yes,,
p5-2014-muon-g-2,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",rank_or_scenario,claude-sonnet,claude-haiku,"Y (Scenarios A, B, C)","Scenario A, B, C",check,,
p5-2014-muon-g-2,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",science_driver,claude-sonnet,claude-haiku,"Explore the Unknown: New Particles, Interactions, and Physical Principles","Explore the unknown: new particles, interactions, and physical principles",yes,,
p5-2014-muon-g-2,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",promise_quote,claude-sonnet,claude-haiku,Complete the Mu2e and muon g-2 projects.,"These are immediate targets of opportunity in the drive to search for new physics, and they will help inform future choices of direction.",check,,
p5-2014-muon-g-2,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",science_question,claude-sonnet,claude-haiku,Measure the muon anomalous magnetic moment (g-2) to test the existing three-and-a-half standard deviation discrepancy with the Standard Model prediction.,Measure the muon anomalous magnetic moment to high precision to search for new physics,check,,
p5-2014-muon-g-2,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-muon-g-2,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",cost_basis,claude-sonnet,claude-haiku,,,yes,,
p5-2014-muon-g-2,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",target_date,claude-sonnet,claude-haiku,,,yes,,
p5-2014-muon-g-2,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",source_locator,claude-sonnet,claude-haiku,Table 1 (p. 17); Recommendation 22 (p. 15),"Table 1, Recommendation 22",check,,
p5-2014-nustorm,"Table 1 (p. 17), raw text, columns A B C: Large Projects | NuSTORM N N N",agency,claude-sonnet,claude-haiku,"DOE-HEP (Fermilab, proposed)","DOE-HEP, international",no,,
p5-2014-nustorm,"Table 1 (p. 17), raw text, columns A B C: Large Projects | NuSTORM N N N",size_class,claude-sonnet,claude-haiku,Large per Table 1 'Large Projects' grouping,Large,yes,,
p5-2014-nustorm,"Table 1 (p. 17), raw text, columns A B C: Large Projects | NuSTORM N N N",rank_or_scenario,claude-sonnet,claude-haiku,"not-recommended (N, N, N in all three scenarios)",not-recommended,check,,
p5-2014-nustorm,"Table 1 (p. 17), raw text, columns A B C: Large Projects | NuSTORM N N N",science_driver,claude-sonnet,claude-haiku,Pursue the Physics Associated with Neutrino Mass,Pursue the physics associated with neutrino mass,yes,,
p5-2014-nustorm,"Table 1 (p. 17), raw text, columns A B C: Large Projects | NuSTORM N N N",promise_quote,claude-sonnet,claude-haiku,"the high cost makes it impossible to pursue at the same time as PIP-II and LBNF, which are the primary objectives.","Although the concept is attractive as a first step towards a neutrino factory and as a means to reduce the beam-related systematic errors for LBNF, the high cost makes it impossible to pursue at the same time as PIP-II and LBNF.",check,,
p5-2014-nustorm,"Table 1 (p. 17), raw text, columns A B C: Large Projects | NuSTORM N N N",science_question,claude-sonnet,claude-haiku,Use a small muon storage ring to produce a precisely known ~GeV neutrino/antineutrino flux for sensitive sterile-neutrino searches and precision cross-section measurements.,Produce precisely known GeV neutrinos for sterile neutrino searches and precision cross-section measurements,check,,
p5-2014-nustorm,"Table 1 (p. 17), raw text, columns A B C: Large Projects | NuSTORM N N N",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-nustorm,"Table 1 (p. 17), raw text, columns A B C: Large Projects | NuSTORM N N N",cost_basis,claude-sonnet,claude-haiku,,High cost conflicting with higher priorities,no,,
p5-2014-nustorm,"Table 1 (p. 17), raw text, columns A B C: Large Projects | NuSTORM N N N",target_date,claude-sonnet,claude-haiku,,,yes,,
p5-2014-nustorm,"Table 1 (p. 17), raw text, columns A B C: Large Projects | NuSTORM N N N",source_locator,claude-sonnet,claude-haiku,Table 1 (p. 17); p. 13,Table 1,check,,
p5-2014-orka,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | ORKA N N N",agency,claude-sonnet,claude-haiku,"DOE-HEP (Fermilab, proposed)","DOE-HEP, Fermilab",no,,
p5-2014-orka,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | ORKA N N N",size_class,claude-sonnet,claude-haiku,Medium ($50M-$200M) per Table 1 'Medium Projects' grouping,Medium,yes,,
p5-2014-orka,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | ORKA N N N",rank_or_scenario,claude-sonnet,claude-haiku,"not-recommended (N, N, N in all three scenarios)",not-recommended,check,,
p5-2014-orka,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | ORKA N N N",science_driver,claude-sonnet,claude-haiku,"Explore the Unknown: New Particles, Interactions, and Physical Principles","Explore the unknown: new particles, interactions, and physical principles",yes,,
p5-2014-orka,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | ORKA N N N",promise_quote,claude-sonnet,claude-haiku,"Unfortunately, due to resource constraints and anticipated conflicts with the highest priority items in the Fermilab program, P5 cannot recommend moving ahead with ORKA at this time.","Unfortunately, due to resource constraints and anticipated conflicts with the highest priority items in the Fermilab program, P5 cannot recommend moving ahead with ORKA at this time.",yes,,
p5-2014-orka,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | ORKA N N N",science_question,claude-sonnet,claude-haiku,Measure the rare kaon decay K+ -> pi+ nu nu with improved precision to probe multi-TeV-scale new physics via a process with very small Standard Model theoretical uncertainty.,Measure rare kaon decay process with small Standard Model uncertainty to discover multi-TeV scale new physics,check,,
p5-2014-orka,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | ORKA N N N",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-orka,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | ORKA N N N",cost_basis,claude-sonnet,claude-haiku,,Resource constraints; conflicts with prioritized items,no,,
p5-2014-orka,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | ORKA N N N",target_date,claude-sonnet,claude-haiku,,,yes,,
p5-2014-orka,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | ORKA N N N",source_locator,claude-sonnet,claude-haiku,Table 1 (p. 17); p. 15,"Section 2.2, page 15",check,,
p5-2014-pingu,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | PINGU Further development of concept encouraged",agency,claude-sonnet,claude-haiku,NSF-PHY (IceCube collaboration),NSF-PHY,no,,
p5-2014-pingu,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | PINGU Further development of concept encouraged",size_class,claude-sonnet,claude-haiku,Medium per Table 1 'Medium Projects' grouping,Small,no,,
p5-2014-pingu,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | PINGU Further development of concept encouraged",rank_or_scenario,claude-sonnet,claude-haiku,Further development of concept encouraged,Further development of concept encouraged,yes,,
p5-2014-pingu,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | PINGU Further development of concept encouraged",science_driver,claude-sonnet,claude-haiku,Pursue the Physics Associated with Neutrino Mass (also Identify the New Physics of Dark Matter),Pursue the physics associated with neutrino mass; Identify the new physics of dark matter,no,,
p5-2014-pingu,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | PINGU Further development of concept encouraged",promise_quote,claude-sonnet,claude-haiku,Further development of concept encouraged,"PINGU could play a very important role as part of a larger upgrade of IceCube, or as a separate upgrade, but more work is required.",check,,
p5-2014-pingu,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | PINGU Further development of concept encouraged",science_question,claude-sonnet,claude-haiku,"Determine the neutrino mass hierarchy using a large sample of atmospheric neutrinos via an IceCube infill array, with added sensitivity to low-mass (down to 5 GeV) WIMP dark matter.",Determine neutrino mass hierarchy using atmospheric neutrinos; search for low-mass WIMP dark matter,check,,
p5-2014-pingu,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | PINGU Further development of concept encouraged",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-pingu,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | PINGU Further development of concept encouraged",cost_basis,claude-sonnet,claude-haiku,,,yes,,
p5-2014-pingu,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | PINGU Further development of concept encouraged",target_date,claude-sonnet,claude-haiku,,,yes,,
p5-2014-pingu,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | PINGU Further development of concept encouraged",source_locator,claude-sonnet,claude-haiku,Table 1 (p. 17); p. 13,Table 1 (further development encouraged),check,,
p5-2014-pip-ii,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",_row,claude-sonnet,claude-haiku,present,MISSING,no,,
p5-2014-radar,"Table 1 (p. 17), raw text, columns A B C: Large Projects | RADAR N N N",agency,claude-sonnet,claude-haiku,"DOE-HEP (Fermilab, proposed; Ash River site)","DOE-HEP, Fermilab",no,,
p5-2014-radar,"Table 1 (p. 17), raw text, columns A B C: Large Projects | RADAR N N N",size_class,claude-sonnet,claude-haiku,Large per Table 1 'Large Projects' grouping,Large,yes,,
p5-2014-radar,"Table 1 (p. 17), raw text, columns A B C: Large Projects | RADAR N N N",rank_or_scenario,claude-sonnet,claude-haiku,"not-recommended (N, N, N in all three scenarios)",not-recommended,check,,
p5-2014-radar,"Table 1 (p. 17), raw text, columns A B C: Large Projects | RADAR N N N",science_driver,claude-sonnet,claude-haiku,Pursue the Physics Associated with Neutrino Mass,Pursue the physics associated with neutrino mass,yes,,
p5-2014-radar,"Table 1 (p. 17), raw text, columns A B C: Large Projects | RADAR N N N",promise_quote,claude-sonnet,claude-haiku,A strategy focusing resources on moving ahead as fast as possible on LBNF is therefore favored.,"The RADAR proposal is to build a liquid argon TPC at the Ash River site, thereby offsetting R&D costs for LBNF... the CP and mass hierarchy reach is reduced compared to that of the LBNF configuration.",check,,
p5-2014-radar,"Table 1 (p. 17), raw text, columns A B C: Large Projects | RADAR N N N",science_question,claude-sonnet,claude-haiku,Build a liquid argon TPC at the Ash River site using the existing NuMI beamline to improve knowledge of oscillation parameters and offset LBNF R&D costs.,Improve oscillation parameter knowledge using NuMI beam with liquid argon detector,check,,
p5-2014-radar,"Table 1 (p. 17), raw text, columns A B C: Large Projects | RADAR N N N",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-radar,"Table 1 (p. 17), raw text, columns A B C: Large Projects | RADAR N N N",cost_basis,claude-sonnet,claude-haiku,,Strategy favors focusing resources on LBNF,no,,
p5-2014-radar,"Table 1 (p. 17), raw text, columns A B C: Large Projects | RADAR N N N",target_date,claude-sonnet,claude-haiku,,,yes,,
