project,source_excerpt,field,model_a,model_b,value_a,value_b,agree,verdict,correct_value
p5-2014-desi,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | DESI N Y Y",cost_basis,claude-sonnet,claude-haiku,size-class-only,size-class-only,yes,,
p5-2014-dm-g2,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G2 Y Y Y",cost_basis,claude-sonnet,claude-haiku,size-class-only,size-class-only,yes,,
p5-2014-dm-g3,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G3 Y, reduced Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",cost_basis,claude-sonnet,claude-haiku,size-class-only,size-class-only,yes,,
p5-2014-hl-lhc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | HL-LHC Y Y Y",cost_basis,claude-sonnet,claude-haiku,size-class-only,size-class-only,yes,,
p5-2014-ilc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | ILC R&D only R&D, Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",cost_basis,claude-sonnet,claude-haiku,size-class-only,size-class-only,yes,,
p5-2014-lar1,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LAr1 N N N",cost_basis,claude-sonnet,claude-haiku,size-class-only,size-class-only,yes,,
p5-2014-lbnf,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",cost_basis,claude-sonnet,claude-haiku,size-class-only,size-class-only,yes,,
p5-2014-lsst,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LSST Y Y Y",cost_basis,claude-sonnet,claude-haiku,size-class-only,size-class-only,yes,,
p5-2014-mu2e,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",cost_basis,claude-sonnet,claude-haiku,size-class-only,size-class-only,yes,,
p5-2014-muon-g-2,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",cost_basis,claude-sonnet,claude-haiku,size-class-only,size-class-only,yes,,
p5-2014-nustorm,"Table 1 (p. 17), raw text, columns A B C: Large Projects | NuSTORM N N N",cost_basis,claude-sonnet,claude-haiku,size-class-only,size-class-only,yes,,
p5-2014-orka,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | ORKA N N N",cost_basis,claude-sonnet,claude-haiku,size-class-only,size-class-only,yes,,
p5-2014-pingu,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | PINGU Further development of concept encouraged",cost_basis,claude-sonnet,claude-haiku,size-class-only,size-class-only,yes,,
p5-2014-pip-ii,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",cost_basis,claude-sonnet,claude-haiku,size-class-only,size-class-only,yes,,
p5-2014-radar,"Table 1 (p. 17), raw text, columns A B C: Large Projects | RADAR N N N",cost_basis,claude-sonnet,claude-haiku,size-class-only,size-class-only,yes,,
p5-2014-chips,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CHIPS N N N",promise_quote,claude-sonnet,claude-haiku,"CHIPS proposes a large water Cherenkov detector in a water-filled mine pit, first at a NuMI off-axis location, and possibly later as an off-axis LBNF detector.","CHIPS proposes a large water Cherenkov detector in a water-filled mine pit, first at a NuMI off-axis location, and possibly later as an off-axis LBNF detector.",yes,,
p5-2014-cmb-s4,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CMB-S4 Y Y Y",promise_quote,claude-sonnet,claude-haiku,Support CMB experiments as part of the core particle physics program. The multidisciplinary nature of the science warrants continued multiagency support.,A Stage 4 Cosmic Microwave Background experiment (CMB-S4) aims at measuring the amplitude of the gravitational waves produced during inflation with percent level precision.,check,,
p5-2014-cta,Not in Table 1. Recommendation 21,promise_quote,claude-sonnet,claude-haiku,Invest in CTA as part of the small projects portfolio if the critical NSF Astronomy funding can be obtained.,The Cherenkov Telescope Array (CTA) is the world's major step forward in ground-based gamma-ray astrophysics.,check,,
p5-2014-desi,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | DESI N Y Y",promise_quote,claude-sonnet,claude-haiku,"Build DESI as a major step forward in dark energy science, if funding permits (see Scenarios discussion below).","The Dark Energy Spectroscopic Instrument (DESI) can provide very accurate distances to 25 million galaxies and quasars. The expansion history constraints from DESI BAO can be measured at the percent level, looking back over ten billion years.",check,,
p5-2014-dm-g2,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G2 Y Y Y",promise_quote,claude-sonnet,claude-haiku,Proceed immediately with a broad second-generation (G2) dark matter direct detection program with capabilities described in the text. Invest in this program at a level significantly above that called for in the 2012 joint agency announcement of opportunity.,Proceed immediately with a broad second-generation (G2) dark matter direct detection program with capabilities described in the text. Invest in this program at a level significantly above that called for in the 2012 joint agency announcement of opportunity.,yes,,
p5-2014-dm-g3,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G3 Y, reduced Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",promise_quote,claude-sonnet,claude-haiku,"Support one or more third-generation (G3) direct detection experiments, guided by the results of the preceding searches. Seek a globally complementary program and increased international partnership in G3 experiments.","Support one or more third-generation (G3) direct detection experiments, guided by the results of the preceding searches. Seek a globally complementary program and increased international partnership in G3 experiments.",yes,,
p5-2014-hl-lhc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | HL-LHC Y Y Y",promise_quote,claude-sonnet,claude-haiku,The HL-LHC is strongly supported and is the first high-priority large-category project in our recommended program.,The HL-LHC has a compelling and comprehensive program that will make essential measurements of the Higgs properties.,check,,
p5-2014-ilc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | ILC R&D only R&D, Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",promise_quote,claude-sonnet,claude-haiku,"As the physics case is extremely strong, we plan in all Scenarios for ILC support at some level through a decision point within the next five years.","The ILC would greatly increase the sensitivity to the Higgs boson interactions with the Standard Model particles, with particles in the dark sector, and with other new physics.",check,,
p5-2014-lar1,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LAr1 N N N",promise_quote,claude-sonnet,claude-haiku,"LAr1 is a mid-scale short-baseline accelerator-based experiment to address both the neutrino and antineutrino SBL anomalies. An appropriate combination of smaller near-term projects may accomplish most of these goals at much lower cost, so proceeding with LAr1 is not recommended at this time.",LAr1 is a mid-scale short-baseline accelerator-based experiment to address both the neutrino and antineutrino SBL anomalies.,check,,
p5-2014-lbnf,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",promise_quote,claude-sonnet,claude-haiku,"Form a new international collaboration to design and execute a highly capable Long-Baseline Neutrino Facility (LBNF) hosted by the U.S. To proceed, a project plan and identified resources must exist to meet the minimum requirements in the text. LBNF is the highest-priority large project in its timeframe.","With these ingredients, combined with a baseline greater than 1000 km, LBNF can, with a single experiment, measure evidence for CP-violation in the lepton sector and provide a definite determination of the mass hierarchy, independent of the value of δCP.",check,,
p5-2014-lsst,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LSST Y Y Y",promise_quote,claude-sonnet,claude-haiku,Complete LSST as planned.,"The Large Synoptic Survey Telescope (LSST) will precisely measure the positions and shapes of four billion galaxies along with estimates of their distances (using photometric redshifts), 100,000 massive galaxy clusters, and 250,000 Type Ia Supernovae, providing an order-of-magnitude improvement relative to current-generation experiments with structure measurements complementing the precise expansion history from DESI.",check,,
p5-2014-mu2e,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",promise_quote,claude-sonnet,claude-haiku,Complete the Mu2 e and muon g-2 projects.,"Very ambitious next-generation experiments aim to be sensitive to conversion rates four orders of magnitude beyond the existing bounds, allowing them to reveal the presence of new particles with masses up to thousands of TeV, well beyond the reach of the LHC.",check,,
p5-2014-muon-g-2,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",promise_quote,claude-sonnet,claude-haiku,Complete the Mu2 e and muon g-2 projects.,"A new experiment, Muon g-2 at Fermilab, will significantly improve the accuracy of the measurement, and combining this with further improvements in the theoretical prediction for it may sharpen this discrepancy and point the way to new physics.",check,,
p5-2014-nustorm,"Table 1 (p. 17), raw text, columns A B C: Large Projects | NuSTORM N N N",promise_quote,claude-sonnet,claude-haiku,"the high cost makes it impossible to pursue at the same time as PIP-II and LBNF, which are the primary objectives.",NuSTORM is a proposal for a small muon storage ring to produce ~GeV neutrinos and antineutrinos with the advantage of a precisely known flux.,check,,
p5-2014-orka,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | ORKA N N N",promise_quote,claude-sonnet,claude-haiku,"Unfortunately, due to resource constraints and anticipated conflicts with the highest priority items in the Fermilab program, P5 cannot recommend moving ahead with ORKA at this time.",The ORKA kaon experiment would provide an opportunity to make measurements of a process with very small theoretical uncertainties in the Standard Model with discovery potential for multi-TeV scale new physics.,check,,
p5-2014-pingu,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | PINGU Further development of concept encouraged",promise_quote,claude-sonnet,claude-haiku,"PINGU could play a very important role as part of a larger upgrade of IceCube, or as a separate upgrade, but more work is required.","PINGU, an infill array concept at the IceCube facility, may also have the interesting potential to determine the neutrino mass hierarchy using atmospheric neutrinos sooner than other competing methods, as well as have sensitivity to low-mass WIMP dark matter.",check,,
p5-2014-pip-ii,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",promise_quote,claude-sonnet,claude-haiku,"Upgrade the Fermilab proton accelerator complex to produce higher intensity beams. R&D for the Proton Improvement Plan II (PIP-II) should proceed immediately, followed by construction, to provide proton beams of >1 MW by the time of first operation of the new long-baseline neutrino facility.","The PIP-II project at Fermilab is a necessary investment in physics capability, enabling the world's most intense neutrino beam, providing the wideband capability for LBNF, as well as high proton intensities for other opportunities, and it is also an investment in national accelerator laboratory infrastructure.",check,,
p5-2014-radar,"Table 1 (p. 17), raw text, columns A B C: Large Projects | RADAR N N N",promise_quote,claude-sonnet,claude-haiku,A strategy focusing resources on moving ahead as fast as possible on LBNF is therefore favored.,"RADAR proposes to build a liquid argon TPC at the Ash River site, thereby offsetting R&D costs for LBNF.",check,,
p5-2014-chips,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CHIPS N N N",science_question,claude-sonnet,claude-haiku,Use a water Cherenkov detector deployed in a flooded mine pit on the NuMI off-axis beamline to gain incremental sensitivity to neutrino mass hierarchy and CP violation beyond NOvA/T2K.,Improve neutrino oscillation measurements using water Cherenkov detector technology at NuMI beamline.,check,,
p5-2014-cmb-s4,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CMB-S4 Y Y Y",science_question,claude-sonnet,claude-haiku,"Measure the amplitude of inflationary gravitational waves imprinted in the cosmic microwave background to percent-level precision, and constrain the sum of neutrino masses.",Measure primordial gravitational wave amplitude to percent precision to constrain ultra-high energy physics of inflation and test inflation models.,check,,
p5-2014-cta,Not in Table 1. Recommendation 21,science_question,claude-sonnet,claude-haiku,"Search for dark matter annihilation signals in the inner Galaxy and dwarf spheroidal galaxies via ground-based gamma-ray astronomy, reaching the WIMP thermal annihilation cross section for masses up to ~10 TeV.",Search for dark matter annihilation signals in gamma rays through ground-based Cherenkov telescope observations of galactic center and dwarf galaxies.,check,,
p5-2014-desi,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | DESI N Y Y",science_question,claude-sonnet,claude-haiku,"Measure the expansion history of the Universe via baryon acoustic oscillation distances to 25 million galaxies and quasars, constraining dark energy parameters to the percent level over ten billion years.",Measure dark energy equation of state to percent precision by measuring expansion history through baryon acoustic oscillations in 25 million galaxies and quasars.,check,,
p5-2014-dm-g2,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G2 Y Y Y",science_question,claude-sonnet,claude-haiku,Search for WIMP-nucleon (and axion) dark matter interactions across a broad mass range (1 GeV to 100 TeV) with at least an order-of-magnitude improvement in cross-section sensitivity over current experiments.,Detect dark matter particles through direct nuclear recoil measurements using multiple target materials and techniques across broad mass range (1 GeV to 100 TeV).,check,,
p5-2014-dm-g3,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G3 Y, reduced Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",science_question,claude-sonnet,claude-haiku,"Extend dark-matter direct-detection sensitivity down to the neutrino-background coherent-scattering limit, guided by G2 results, via one or more US-led third-generation experiments.",Measure dark matter particle properties comprehensively through next-generation ultra-sensitive direct detection experiments approaching neutrino background limits.,check,,
p5-2014-hl-lhc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | HL-LHC Y Y Y",science_question,claude-sonnet,claude-haiku,Measure Higgs boson couplings to a few-percent precision and extend the search for new particles and dark matter production to higher luminosity and mass reach using the high-luminosity LHC.,Achieve percent-level precision studies of Higgs properties and search for new particles through high-luminosity LHC operations at 14 TeV.,check,,
p5-2014-ilc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | ILC R&D only R&D, Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",science_question,claude-sonnet,claude-haiku,"Measure Higgs boson couplings to Standard Model particles and to the dark sector to the percent or sub-percent level, in a model-independent way, using clean e+e- collisions.","Measure Higgs boson properties to percent or sub-percent level precision using clean e+e- collisions at 500 GeV, upgradable to 1 TeV.",check,,
p5-2014-lar1,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LAr1 N N N",science_question,claude-sonnet,claude-haiku,Address the short-baseline neutrino and antineutrino oscillation anomalies with a mid-scale liquid-argon detector.,Test short-baseline neutrino anomalies using liquid argon detector technology.,check,,
p5-2014-lbnf,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",science_question,claude-sonnet,claude-haiku,"Measure CP violation in neutrino oscillations and determine the neutrino mass hierarchy using a high-intensity wideband beam and a large underground liquid-argon detector, with sensitivity to proton decay and supernova neutrinos.",Determine the neutrino mass hierarchy and measure CP violation in the lepton sector through long-baseline neutrino oscillation measurements.,check,,
p5-2014-lsst,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LSST Y Y Y",science_question,claude-sonnet,claude-haiku,"Measure the positions, shapes, and distances of billions of galaxies and hundreds of thousands of clusters and Type Ia supernovae to constrain dark energy and structure growth to percent-level precision.","Survey four billion galaxies to measure cosmic structure and dark energy properties through gravitational lensing, galaxy cluster abundance, and supernova distances.",check,,
p5-2014-mu2e,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",science_question,claude-sonnet,claude-haiku,Search for the charged-lepton-flavor-violating conversion of a muon to an electron in the field of a nucleus at unprecedented sensitivity.,Detect muon-to-electron conversion in the presence of a nucleus as a signature of new physics.,check,,
p5-2014-muon-g-2,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",science_question,claude-sonnet,claude-haiku,Measure the muon's anomalous magnetic moment (g-2) with improved precision to test for a discrepancy with the Standard Model prediction.,Measure the anomalous magnetic moment of the muon to unprecedented precision to search for deviations from Standard Model predictions.,check,,
p5-2014-nustorm,"Table 1 (p. 17), raw text, columns A B C: Large Projects | NuSTORM N N N",science_question,claude-sonnet,claude-haiku,"Provide a precisely known-flux source of ~GeV neutrinos and antineutrinos via a muon storage ring, for sensitive sterile-neutrino searches and precision cross-section measurements.",Measure neutrino oscillation parameters and cross-sections with unprecedented precision using muon storage ring-produced neutrino beam.,check,,
p5-2014-orka,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | ORKA N N N",science_question,claude-sonnet,claude-haiku,"Measure the rare kaon decay K+ -> pi+ nu nu-bar with improved sensitivity, exploiting the Standard Model's clean theoretical prediction to search for multi-TeV-scale new physics.",Measure rare kaon decays with unprecedented precision to search for physics beyond the Standard Model.,check,,
p5-2014-pingu,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | PINGU Further development of concept encouraged",science_question,claude-sonnet,claude-haiku,"Determine the neutrino mass hierarchy using a large sample of atmospheric neutrinos, and probe low-mass (down to ~5 GeV) WIMP dark matter, via an infill array at the IceCube facility.",Determine neutrino mass hierarchy using atmospheric neutrinos and search for low-mass WIMP dark matter through neutrino detection.,check,,
p5-2014-pip-ii,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",science_question,claude-sonnet,claude-haiku,Provide a proton beam of greater than 1 MW power from the upgraded Fermilab accelerator complex to enable LBNF's wideband neutrino beam and other high-intensity physics.,Upgrade Fermilab accelerator complex to produce world's most intense neutrino beam (>1 MW) for LBNF.,check,,
p5-2014-radar,"Table 1 (p. 17), raw text, columns A B C: Large Projects | RADAR N N N",science_question,claude-sonnet,claude-haiku,Build a liquid argon TPC at the Ash River site on the existing NuMI beamline to improve knowledge of oscillation parameters and offset R&D costs for LBNF.,Improve knowledge of neutrino oscillation parameters using liquid argon detector technology at NuMI beamline.,check,,
p5-2014-chips,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CHIPS N N N",source_locator,claude-sonnet,claude-haiku,"p. 17, Table 1; p. 13","p. 13, discussion p. 1153-1155; Table 1, p. 27",check,,
p5-2014-cmb-s4,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CMB-S4 Y Y Y",source_locator,claude-sonnet,claude-haiku,"p. 17, Table 1; p. 14, Recommendation 18","p. 14, Recommendation 18; Table 1, p. 27",check,,
p5-2014-cta,Not in Table 1. Recommendation 21,source_locator,claude-sonnet,claude-haiku,"p. 15, Recommendation 21","p. 15, Recommendation 21",yes,,
p5-2014-desi,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | DESI N Y Y",source_locator,claude-sonnet,claude-haiku,"p. 17, Table 1 (Additional Small Projects); p. 13, Recommendation 16","p. 13, Recommendation 16; Table 1, p. 27",check,,
p5-2014-dm-g2,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G2 Y Y Y",source_locator,claude-sonnet,claude-haiku,"p. 17, Table 1; p. 14, Recommendation 19","p. 14, Recommendation 19; Table 1, p. 27",check,,
p5-2014-dm-g3,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G3 Y, reduced Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",source_locator,claude-sonnet,claude-haiku,"p. 17, Table 1; p. 14, Recommendation 20","p. 14, Recommendation 20; Table 1, p. 27",check,,
p5-2014-hl-lhc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | HL-LHC Y Y Y",source_locator,claude-sonnet,claude-haiku,"p. 17, Table 1; p. 10, Recommendation 10","p. 10, Recommendation 10; Table 1, p. 27",check,,
p5-2014-ilc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | ILC R&D only R&D, Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",source_locator,claude-sonnet,claude-haiku,"p. 17, Table 1; p. 11, Recommendation 11","p. 11, Recommendation 11; Table 1, p. 27",check,,
p5-2014-lar1,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LAr1 N N N",source_locator,claude-sonnet,claude-haiku,"p. 17, Table 1; p. 13","p. 13, discussion p. 1183-1187; Table 1, p. 27",check,,
p5-2014-lbnf,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",source_locator,claude-sonnet,claude-haiku,"p. 17, Table 1; p. 12, Recommendation 13","p. 12, Recommendation 13; Table 1, p. 27",check,,
p5-2014-lsst,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LSST Y Y Y",source_locator,claude-sonnet,claude-haiku,"p. 17, Table 1; p. 14, Recommendation 17","p. 14, Recommendation 17; Table 1, p. 27",check,,
p5-2014-mu2e,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",source_locator,claude-sonnet,claude-haiku,"p. 17, Table 1; p. 15, Recommendation 22","p. 15, Recommendation 22; Table 1, p. 27",check,,
p5-2014-muon-g-2,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",source_locator,claude-sonnet,claude-haiku,"p. 17, Table 1; p. 15, Recommendation 22","p. 15, Recommendation 22; Table 1, p. 27",check,,
p5-2014-nustorm,"Table 1 (p. 17), raw text, columns A B C: Large Projects | NuSTORM N N N",source_locator,claude-sonnet,claude-haiku,"p. 17, Table 1 (Large Projects); p. 13","p. 13, discussion p. 1197-1207; Table 1, p. 27",check,,
p5-2014-orka,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | ORKA N N N",source_locator,claude-sonnet,claude-haiku,"p. 17, Table 1; p. 15","p. 15, discussion p. 1328-1339; Table 1, p. 27",check,,
p5-2014-pingu,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | PINGU Further development of concept encouraged",source_locator,claude-sonnet,claude-haiku,"p. 17, Table 1; p. 13","p. 13, discussion p. 1188-1196; Table 1, p. 27",check,,
p5-2014-pip-ii,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",source_locator,claude-sonnet,claude-haiku,"p. 17, Table 1; p. 12, Recommendation 14","p. 12, Recommendation 14; Table 1, p. 27",check,,
p5-2014-radar,"Table 1 (p. 17), raw text, columns A B C: Large Projects | RADAR N N N",source_locator,claude-sonnet,claude-haiku,"p. 17, Table 1 (Large Projects); p. 13","p. 13, discussion p. 1151-1162; Table 1, p. 27",check,,
